 -   ; 3'172.27 ; 12'602.85 ; 28'539.80 ; 5'598.60 ; 887.41 ; 7'283.34 ; 20'273.07 ; 2'640.47 ; 11'307.03 ; 3'316.91 ; 13'195.94 ; 727.63 ; 6'742.93 ; 18'890.52 ; 7'276.93 
 3'172.27 ; -   ; 3'304.50 ; 13'127.44 ; 412.85 ; 775.41 ; 927.65 ; 7'702.14 ; 58.12 ; 2'659.39 ; 39.16 ; 3'606.75 ; 945.41 ; 737.01 ; 6'857.70 ; 921.94 
 12'602.85 ; 3'304.50 ; -   ; 3'419.13 ; 1'519.47 ; 7'065.68 ; 802.76 ; 1'005.92 ; 3'894.18 ; 71.95 ; 3'156.98 ; 44.93 ; 7'538.28 ; 1'002.30 ; 717.26 ; 821.83 
 28'539.80 ; 13'127.44 ; 3'419.13 ; -   ; 9'244.39 ; 19'874.18 ; 7'312.33 ; 797.11 ; 14'284.72 ; 4'157.79 ; 12'827.51 ; 3'132.23 ; 20'667.05 ; 7'875.54 ; 1'101.95 ; 7'341.01 
 5'598.60 ; 412.85 ; 1'519.47 ; 9'244.39 ; -   ; 2'167.51 ; 170.42 ; 4'805.52 ; 615.07 ; 1'088.56 ; 384.79 ; 1'736.64 ; 2'423.95 ; 89.78 ; 4'135.46 ; 180.69 
 887.41 ; 775.41 ; 7'065.68 ; 19'874.18 ; 2'167.51 ; -   ; 3'250.10 ; 13'056.80 ; 543.41 ; 6'108.65 ; 854.53 ; 7'504.04 ; 43.16 ; 2'888.02 ; 11'950.64 ; 3'238.38 
 7'283.34 ; 927.65 ; 802.76 ; 7'312.33 ; 170.42 ; 3'250.10 ; -   ; 3'443.15 ; 1'251.67 ; 519.49 ; 845.29 ; 959.40 ; 3'575.65 ; 47.83 ; 2'889.56 ; 36.76 
 20'273.07 ; 7'702.14 ; 1'005.92 ; 797.11 ; 4'805.52 ; 13'056.80 ; 3'443.15 ; -   ; 8'604.25 ; 1'420.95 ; 7'478.66 ; 845.08 ; 13'708.82 ; 3'832.03 ; 59.13 ; 3'451.70 
 2'640.47 ; 58.12 ; 3'894.18 ; 14'284.72 ; 615.07 ; 543.41 ; 1'251.67 ; 8'604.25 ; -   ; 3'186.46 ; 92.77 ; 4'230.08 ; 665.48 ; 1'031.49 ; 7'701.12 ; 1'254.20 
 11'307.03 ; 2'659.39 ; 71.95 ; 4'157.79 ; 1'088.56 ; 6'108.65 ; 519.49 ; 1'420.95 ; 3'186.46 ; -   ; 2'537.16 ; 132.32 ; 6'541.61 ; 663.33 ; 1'070.87 ; 543.07 
 3'316.91 ; 39.16 ; 3'156.98 ; 12'827.51 ; 384.79 ; 854.53 ; 845.29 ; 7'478.66 ; 92.77 ; 2'537.16 ; -   ; 3'452.58 ; 1'024.04 ; 684.39 ; 6'656.81 ; 844.92 
 13'195.94 ; 3'606.75 ; 44.93 ; 3'132.23 ; 1'736.64 ; 7'504.04 ; 959.40 ; 845.08 ; 4'230.08 ; 132.32 ; 3'452.58 ; -   ; 8'001.80 ; 1'172.69 ; 595.29 ; 955.53 
 727.63 ; 945.41 ; 7'538.28 ; 20'667.05 ; 2'423.95 ; 43.16 ; 3'575.65 ; 13'708.82 ; 665.48 ; 6'541.61 ; 1'024.04 ; 8'001.80 ; -   ; 3'198.36 ; 12'572.39 ; 3'570.89 
 6'742.93 ; 737.01 ; 1'002.30 ; 7'875.54 ; 89.78 ; 2'888.02 ; 47.83 ; 3'832.03 ; 1'031.49 ; 663.33 ; 684.39 ; 1'172.69 ; 3'198.36 ; -   ; 3'241.66 ; 61.70 
 18'890.52 ; 6'857.70 ; 717.26 ; 1'101.95 ; 4'135.46 ; 11'950.64 ; 2'889.56 ; 59.13 ; 7'701.12 ; 1'070.87 ; 6'656.81 ; 595.29 ; 12'572.39 ; 3'241.66 ; -   ; 2'905.51 
 7'276.93 ; 921.94 ; 821.83 ; 7'341.01 ; 180.69 ; 3'238.38 ; 36.76 ; 3'451.70 ; 1'254.20 ; 543.07 ; 844.92 ; 955.53 ; 3'570.89 ; 61.70 ; 2'905.51 ; -   
